thai_name,thai_script,english_name,description,region,image_url,category
See Khrong Moo Tod Kratiem,ซี่โครงหมูทอดกระเทียม,Deep-fried Pork Ribs with Garlic,"Pork ribs marinated and deep-fried until golden, topped with crispy fried garlic for a savory and aromatic flavor.",Central,,Meat dishes
Zaap Goong,แซ่บกุ้ง,Spicy Shrimp Salad,"A fiery and tangy Thai salad made with shrimp, fresh herbs, chili, and lime juice for a bold flavor.",Northeast,,Salads
Poo Ma Pad Kratiem,ปูม้าผัดกระเทียม,Stir-fried Blue Crab with Garlic,"Blue crab stir-fried with garlic and light seasoning, creating a simple yet aromatic dish.",Central,,Stir-fried dishes
Pad Kra Pao Khai Yiew Ma,ไข่เยี่ยวม้ากะเพรากรอบ,Stir Fried Minced Pork with Century Eggs,"Stir-Fried Minced Pork with Century Eggs is a spicy Thai dish made with minced pork, garlic, chilies, and holy basil, then topped with wedges of creamy, pungent century eggs. The rich eggs balance the heat and savory pork, creating a bold mix of textures and flavors.",Central,,Stir-fried dish
Mok,ห่อหมกทะเล,Mok,"A Northern and Northeastern Thai dish similar to 'aeb,' made of minced fish, chicken, or mushrooms mixed with curry paste, wrapped in banana leaves, and steamed.",North,https://img.wongnai.com/p/1920x0/2018/01/26/85b667d3414240aba306b73271f726dd.jpg,Meat dishes
Phat Phong Kari,ปูผัดผงกะหรี่,Phat Phong Kari,"A Thai stir-fried curry dish with curry powder, egg, onion, celery, and meat or seafood, most famously crab. It is rich, savory, and mildly spicy.",Central,https://img.wongnai.com/p/1920x0/2018/07/12/5342a685462c482ba182732eca9d0ceb.jpg,Meat dishes
Poo Pad Prik Thai Dam,ปูผัดพริกไทยดำ,Stir-fried Crab with Black Pepper,"Crab stir-fried with black pepper, garlic, and onions for a bold and peppery flavor.",Central,,Stir-fried dishes
Tao Hu Song Khruang,เต้าหู้ทรงเครื่อง,Braised Tofu with Mixed Toppings,"Soft tofu topped with minced pork, mushrooms, and vegetables, simmered in a flavorful sauce.",Central,,Tofu dish
Laab,ลาบปลาทูทอด,Laab,Minced meat salad+fish sauce+garlic,Northeast,https://hot-thai-kitchen.com/wp-content/uploads/2023/08/laab-moo.jpg,main dish
Phat Khi Mao,ปลาดุกฟูผัดขี้เมา,Drunken Noodles,"A spicy stir-fried noodle dish made with wide rice noodles, chili, garlic, holy basil, and mixed vegetables. Known for its heat and bold flavors, it is often eaten as a late-night meal.",Central,https://hot-thai-kitchen.com/wp-content/uploads/2021/07/pad-kee-mao-blog.jpg,Noodle dishes
Krapao Moo Sap / Gai Sap,กะเพราหมูสับ/ไก่สับ,Stir-fried Minced Pork or Chicken with Holy Basil,"A classic Thai street food made with minced pork or chicken stir-fried with holy basil, chili, and garlic.",Central,,Stir-fried dishes
Kalumplee Pad Nam Pla,กะหล่ำปลีผัดน้ำปลา,Stir-fried Cabbage with Fish Sauce,"A simple yet flavorful stir-fry of cabbage with garlic and fish sauce, often served as a side dish.",Central,,Vegetable dishes
Pla Kapong Tod Sam Ros,ปลากะพงทอดสามรส,Deep-fried Sea Bass with Three-flavor Sauce,"Crispy fried sea bass topped with a sweet, sour, and spicy sauce, creating a balanced and flavorful Thai classic.",Central,,Seafood dishes
Pla Tubtim Neung Manow/Si-Iew,ปลาทับทิมนึ่งมะนาว/นึ่งซีอิ๊ว,Steamed Ruby Fish with Lime or Soy Sauce,"Ruby fish (tilapia) steamed and served with either a tangy lime, garlic, and chili dressing or a savory soy sauce base.",Central,,Seafood dishes
Yam Hed Khem Thong,ยำเห็ดเข็มทอง,Enoki Mushroom Spicy Salad,"A light and tangy salad made with enoki mushrooms tossed in lime juice, chili, fish sauce, and fresh herbs.",Central,,Salads
Yam Phak Bung Krop,ยำผักบุ้งกรอบ,Crispy Morning Glory Salad,"Deep-fried morning glory tossed with chili, lime, fish sauce, and herbs for a crunchy and tangy salad.",Central,,Salads
Yam Hed Khem Thong Thot Krop,ยำเห็ดเข็มทองทอดกรอบ,Crispy Enoki Mushroom Spicy Salad,"Deep-fried enoki mushrooms mixed with chili, lime juice, and herbs for a crunchy and zesty Thai-style salad.",Central,,Salads
Pla Kapong Lui Suan,ปลากระพงลุยสวน,Sea Bass with Spicy Garden-style Dressing,"Deep-fried sea bass topped with a zesty mix of fresh herbs, garlic, lime, and chilies, known as 'garden style' dressing.",Central,,Seafood dishes
Krapao Pla Nam Daeng,กระเพาะปลาน้ำแดง,Fish Maw in Red Gravy,A savory soup made with fish maw stewed in a thick red-brown sauce with mushrooms and seasonings.,Central,,Soups
Krapao Pla Pad Haeng,กระเพาะปลาผัดแห้ง,Stir-fried Dry Fish Maw,"Fish maw stir-fried without broth, cooked with vegetables, soy sauce, and garlic for a savory and chewy texture.",Central,,Stir-fried dishes
Krapao Pla Pad Goong,กระเพาะปลาผัดกุ้ง,Stir-fried Fish Maw with Shrimp,"Fish maw stir-fried with shrimp, vegetables, and light seasonings for a chewy and savory dish.",Central,,Stir-fried dishes
Chu Chi,ฉู่ฉี่ปลาคังคัง,Chu Chi Curry,"A rich Thai curry dish made with red curry paste, coconut milk, and fish or seafood. It is thick, aromatic, and slightly sweet with a spicy kick.",Central,https://www.ajinomoto.co.th/storage/photos/shares/Recipe/Menu/Lot5-15/61fa995f1a019.jpg,Curries
Peek Gai Thot Kluea,ปีกไก่ทอดเกลือ,Fried Chicken Wings with Salt,Simple and crispy deep-fried chicken wings lightly seasoned with salt for a savory snack or side dish.,Central,,Deep-fried dishes
Peek Gai Kua Prik Kluea,ปีกไก่คั่วพริกเกลือ,Fried Chicken Wings with Chili and Salt,"Crispy chicken wings stir-fried with garlic, chili, and salt for a spicy and aromatic flavor.",Central,,Deep-fried dishes
Poo Pad Prik Kluea,ปูผัดพริกเกลือ,Stir-fried Crab with Chili and Salt,"Fresh crab stir-fried with garlic, chili, and salt, giving it a spicy, savory, and fragrant taste.",Central,,Stir-fried dishes
Yue Phai Toon Nam Daeng,เยื่อไผ่ตุ๋นน้ำแดง,Bamboo Pith in Red Soup,A nourishing Chinese-influenced soup made with bamboo pith stewed in a savory red broth with vegetables and seasonings.,Central,,Soup
Yod Khao Phot Pad Goong,ยอดข้าวโพดผัดกุ้ง,Stir-fried Baby Corn with Shrimp,"A light and savory stir-fry of tender baby corn and shrimp, cooked with garlic and oyster sauce.",Central,,Stir-fried dishes
Pad Phak Ruam Mit,ผัดผักรวมมิตร,Stir-fried Mixed Vegetables,A healthy stir-fry of assorted seasonal vegetables cooked with garlic and oyster sauce.,Central,,Vegetable dishes
Kana Nam Man Hoi,คะน้าน้ำมันหอย,Stir-fried Chinese Kale with Oyster Sauce,"Fresh Chinese kale stir-fried with oyster sauce and garlic, a simple and savory Thai side dish.",Central,,Vegetable dishes
Kana Pla Kem,คะน้าปลาเค็ม,Chinese Kale with Salted Fish,"Chinese kale stir-fried with pieces of salted fish, creating a salty, aromatic flavor popular in Thai home cooking.",Central,,Vegetable dishes
Ba Mee Goong,บะหมือบกุ้ง,Egg Noodles with Shrimp,"A noodle dish featuring egg noodles served with shrimp, often garnished with vegetables and light seasoning.",Central,,Noodle dishes
Gai Pad Med Mamuang,ไก่ผัดเม็ดมะม่วง,Stir-fried chicken with cashew nuts,"A savory stir-fry of chicken, cashew nuts, and vegetables in a sweet and slightly spicy sauce.",Central,,Meat dishes
Goong Pad Med Mamuang,กุ้งผัดเม็ดมะม่วง,Shrimp Stir-fried with Cashew Nuts,"A savory stir-fry of shrimp with crunchy cashew nuts, onions, and dried chili in a sweet-salty sauce.",Central,,Stir-fried dish
Yam Ruam Mit Thale,ยำรวมมิตรทะเล,Mixed Seafood Spicy Salad,"A zesty salad of assorted seafood such as shrimp, squid, and mussels combined with lime, chili, and fresh herbs.",Central,,Salads
Yam Sam Krob,ยำสามกรอบ,Crispy Trio Salad,"A Thai salad made with three crispy ingredients, often pork rind, cashews, and fried shrimp, tossed with lime juice, chili, and fish sauce. It has a crunchy texture and a bold, tangy flavor.",Central,https://img.wongnai.com/p/1920x0/2019/03/23/a2354ab2a56c41168113f0e227b57719.jpg,Salads
Pla Muek Pad Khai Kem,ปลาหมึกผัดไข่เค็ม,Stir-fried Squid with Salted Egg,"Squid stir-fried with salted egg yolk, chili, and curry leaves, creating a rich, creamy, and savory flavor.",Central,,Seafood dishes
Pla Hima Neung Si-Iew,ปลาหิมะนึ่งซีอิ๊ว,Steamed Snow Fish with Soy Sauce,"Snow fish delicately steamed and served with a savory soy sauce dressing, highlighting its soft and buttery texture.",Central,,Seafood dishes
Phak Kat Khao Nam Man Hoi,ผักกาดขาวน้ำมันหอย,Stir-fried Napa Cabbage with Oyster Sauce,Tender napa cabbage stir-fried with garlic and oyster sauce for a simple yet flavorful side dish.,Central,,Stir-fried dishes
Hed Pao Hu Jian Kana,เห็ดเป๋าฮื้อเจี้ยนคะน้า,Braised Abalone Mushrooms with Kale,"Tender abalone mushrooms simmered with crisp kale in a flavorful sauce, balancing earthy and slightly bitter notes.",Central Thailand,,Seafood dishes
Hed Pao Hu Pad Goong,เห็ดเป๋าฮื้อผัดกุ้ง,Stir-fried Abalone Mushrooms with Shrimp,"A light and savory stir-fry of abalone mushrooms and shrimp, cooked with garlic and oyster sauce for a delicate flavor.",Central Thailand,,Seafood dishes
Kai Jeow,ไข่เจียวปู,Kai Jeow,"A fluffy Thai omelet made with eggs, fish sauce, and oil, fried until golden and crispy on the edges. Often served over rice.",Central,https://recipe.sgethai.com/wp-content/uploads/2025/04/160425-Thai-Pork-Omelet-cover.webp,Egg dishes
Kai Jeow,ไข่เจียวหอยนางรม,Kai Jeow,"A fluffy Thai omelet made with eggs, fish sauce, and oil, fried until golden and crispy on the edges. Often served over rice.",Central,https://recipe.sgethai.com/wp-content/uploads/2025/04/160425-Thai-Pork-Omelet-cover.webp,Egg dishes
Pak boong fai daeng,ผักบุ้งไฟแดง,Stir-fried morning-glory,"Morning-glory (a.k.a. water spinach ) stir fried with yellow bean sauce , garlic, and chili peppers. It is a very popular vegetable dish in Thailand.",,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Pak_boong_fai_daeng.jpg/120px-Pak_boong_fai_daeng.jpg,Vegetable dishes
Yam Woon Sen Thale,ยำวุ้นเส้นทะเล,Seafood Glass Noodle Salad,"A refreshing salad of glass noodles mixed with shrimp, squid, and herbs, tossed in a spicy lime dressing.",Central,,Salads
Pad Phak Si Sahai,ผัดผัก 4 สหาย,Stir-fried Four Friends Vegetables,"A colorful stir-fry featuring four types of vegetables, often mushrooms, baby corn, carrots, and snow peas.",Central,,Stir-fried dishes
