thai_name,thai_script,english_name,description,region,image_url,category
Khao khai chiao,ข้าวไข่เจียว,Omelette on rice,"A quick snack or breakfast, it is an omelette with white rice, often eaten with chili sauce and cucumber. The variant shown in the image is khao khai chiao songkhrueang ( Thai : ข้าวไข่เจียวทรงเครื่อง ) where the omelette is topped with a minced pork and vegetable stir-fry.",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Khao_khai_chiao_songkhrueng.jpg/120px-Khao_khai_chiao_songkhrueng.jpg,Rice dishes
Khao Khai Jiao Moo Sap,ข้าวไข่เจียวหมูสับ,Omelette with Minced Pork on Rice,"A fluffy Thai omelette mixed with minced pork, served over steamed jasmine rice. A common and comforting street food dish.",Central,,Rice dishes
Khoi Moo Yang Jim Jaew,คอยหมูย่าง จิ้มแจ่ว,Grilled Pork with Spicy Dipping Sauce,"Slices of marinated pork, grilled until tender and smoky, served with a northeastern Thai dipping sauce (nam jim jaew) made of roasted rice powder, chili, and lime.",Northeast (Isan),,Meat dishes
Kho mu yang kratha ron,คอหมูย่างกระทะร้อน,Kho mu yang kratha ron,"Kho mu yang kratha ron literally translates to ""pork neck grilled on a hot skillet"".",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Kho_mu_yang_kratha_ron.jpg/120px-Kho_mu_yang_kratha_ron.jpg,Grilled dishes
Kana Nam Man Hoi,คะน้าน้ำมันหอย,Stir-fried Chinese Kale with Oyster Sauce,"Fresh Chinese kale stir-fried with oyster sauce and garlic, a simple and savory Thai side dish.",Central,,Vegetable dishes
Kana Pla Kem,คะน้าปลาเค็ม,Chinese Kale with Salted Fish,"Chinese kale stir-fried with pieces of salted fish, creating a salty, aromatic flavor popular in Thai home cooking.",Central,,Vegetable dishes
Kana Hydro Pad Goong,คะน้าไฮโดรผัดกุ้ง,Hydroponic Kale Stir-fried with Shrimp,"Crisp hydroponic kale stir-fried with shrimp, combining freshness with the sweet taste of seafood.",Central,,Vegetable dishes
Kana Hydro Moo Krob,คะน้าไฮโดรหมูกรอบ,Hydroponic Kale with Crispy Pork,"Hydroponic kale stir-fried with crispy pork belly, balancing crunchy vegetables with rich, savory pork.",Central,,Vegetable dishes
Khua kraduk,คั่วกระดูกหมู,Khua kraduk,"A very spicy and, for Thai standards, ""dry"" curry with pork ribs and it is a Southern Thai speciality.",South,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Khua_kraduk.JPG/120px-Khua_kraduk.JPG,Curries
Khua kling,คั่วกลิ้ง,Khua kling,"A very spicy, dry fried curry made with chopped meat (usually beef, chicken, pork, or lamb) served with a large amount of shredded fresh kaffir lime leaves.",South,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Khua_kling.JPG/120px-Khua_kling.JPG,Curries
Khua chin som sai khai,คั่วจิ๊นส้มใส่ไข่,Khua chin som sai khai,Northern Thai pickled pork stir-fried with egg.,North,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Khua_chin_som_sai_khai.JPG/120px-Khua_chin_som_sai_khai.JPG,Meat dishes
Khua no mai sai mu,คั่วหน่อไม้ใส่หมู,Khua no mai sai mu,"Stir-fried bamboo shoots with pork. In this particular version, the pork is minced.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Khua_no_mai_sai_mu.jpg/120px-Khua_no_mai_sai_mu.jpg,Stir-fried dishes
Khua ho,คั่วห่อ,Khua ho,"Glass noodles are stir-fried with left-overs from other dishes. Unlike kaeng ho , this dish will not contain any left-over curry dishes. It was traditionally eaten at the end of a ceremony or festival. It is served here with pork rinds.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Khua_ho.JPG/120px-Khua_ho.JPG,Noodle dishes
Chingrit thot,จิ้งหรีดทอด,Deep-fried crickets,"Deep-fried crickets , either Gryllus bimaculatus or, as shown in the image, Acheta domesticus . This dish is often eaten as a snack to go with drinks.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Chingrit_thot.jpg/120px-Chingrit_thot.jpg,Savoury snacks and starters
Chim chum,จิ้มจุ่ม,Chim chum,"A Thai style hot pot served in an earthenware pot where the ingredients (meats, vegetables, mushrooms, noodles) are cooked in a clear herb broth of lemongrass, galangal, and kaffir lime leaves. Additionally, the broth can contain other herbs such as kaphrao ( Thai holy basil ), spices such as chillies, or in addition be partially meat based, using pork ribs for instance as one of the base ingredients. It is served with one or more nam chim (dipping sauces).",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Chim_chum.jpg/120px-Chim_chum.jpg,Soup dishes
Chin som mok,จิ๊นส้มหมก,Chin som mok,"Chin som is the northern Thai version of the pickled pork sausage called naem . In chin som mok (lit. ""covered chin som "") the pickled pork is grilled inside a banana leaf before serving.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Chin_som_mok.JPG/120px-Chin_som_mok.JPG,Grilled dishes
Chin hum,จิ๊นฮุ่ม,Chin hum,It is a slowly stewed meat curry from northern Thailand. This particular version is made with beef.,North,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Chin_hum.jpg/120px-Chin_hum.jpg,Curries
Chuchi pla kaphong,ฉู่ฉี่ปลากะพง,Chuchi pla kaphong,A semi-dry red curry with fried Snapper .,Central,,Curries
Nam Prik Goong Sod,น้ำพริกกุ้งสด,Fresh Shrimp Chili Paste,"A spicy Thai chili paste made with fresh shrimp, chili, garlic, and lime, typically served with fresh or steamed vegetables.",Central,,Dipping sauces and pastes
Chuchi pla thu sot,ฉู่ฉี่ปลาทูสด,Chuchi pla thu sot,A semi-dry curry made with fresh (i.e. unsteamed and unsalted) pla thu ( Rastrelliger brachysoma ). The version in the image was made at a southern Thai restaurant.,South,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Chuchi_pla_thu_sot.jpg/120px-Chuchi_pla_thu_sot.jpg,Curries
Choo Chee Moo Krob,ฉู่ฉี่หมูกรอบ,Choo Chee Curry with Crispy Pork,Crispy pork belly simmered in a thick and aromatic choo chee red curry sauce with coconut milk and fragrant herbs.,Central,,Curry dishes
Choo Chee Moo Pa,ฉู่ฉี่หมูป่า,Choo Chee Curry with Wild Boar,"Wild boar meat cooked in a spicy choo chee curry, offering a richer and gamier flavor than standard pork curries.",Central,,Curry dishes
Cha dam yen,ชาดำเย็น,Black iced tea,"It is made from strongly brewed black tea (""red tea"" in East Asia). The tea is sweetened with sugar and served with ice.",,,Drinks
Cha manao,ชามะนาว,Lime flavored tea,"It is made from strongly brewed black tea (""red tea"" in East Asia). The tea is sweetened with sugar flavored with sugar and lime and served hot or with ice. Mint may also be added.",,,Drinks
Cha ron,ชาร้อน,Thai hot tea,"It is made from strongly brewed black tea (""red tea"" in East Asia). The tea is sweetened with sugar and condensed milk and served hot.",,,Drinks
Cha yen,ชาเย็น,Thai iced tea,"It is made from strongly brewed black tea (""red tea"" in East Asia). Additional ingredients may include orange blossom water, star anise, crushed tamarind seed and sometimes other spices. The tea is sweetened with sugar and condensed milk and served chilled.",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Cha_yen.JPG/120px-Cha_yen.JPG,Drinks
Sot Si Racha,ซอสศรีราชา,Sriracha sauce,"It is a hot sauce made from sun-ripened chili peppers, vinegar, garlic, sugar, and salt. It is commonly known in Thailand as sot Si Racha ( sot is the Thai pronunciation of the English word ""sauce""), but also as nam chim Si Racha or nam phrik Si Racha . The name is derived from the seaside town of Si Racha .",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Siracha_sauce.jpg/120px-Siracha_sauce.jpg,Dipping sauces and pastes
Si khrong mu thot,ซี่โครงหมูทอด,Si khrong mu thot,"Deep-fried pork ribs. The version in the image however, had first been boiled, then marinated, then deep-fried with garlic, and then again stir-fried with a sweet and tangy tamarind sauce just before serving.",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Si_khrong_mu_thot.JPG/120px-Si_khrong_mu_thot.JPG,Deep-fried dishes
See Khrong Moo Tod Kratiem,ซี่โครงหมูทอดกระเทียม,Deep-fried Pork Ribs with Garlic,"Pork ribs marinated and deep-fried until golden, topped with crispy fried garlic for a savory and aromatic flavor.",Central,,Meat dishes
Sup Kraduk Moo,ซุปกระดูกหมู,Pork Rib Soup,"A light and fragrant soup made with pork ribs simmered with Thai herbs, often flavored with lime, chili, and fish sauce.",Central,,Soup dishes
Dara thong,ดาราทอง,Dara thong,"Dara thong or thong ek krachang (ทองเอกกระจัง) is a golden dough ball made from wheat flour, egg yolks, coconut milk, and sugar, topped with a little piece of gold leaf, and decorated with sugar-coated, dry-fried watermelon seeds. Nowadays, it is often wrongly referred to as cha mongkut (จ่ามงกุฎ), which is the name of another Thai traditional sweet.",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Dara_Thong2.jpg/120px-Dara_Thong2.jpg,Sweet snacks and desserts
Tap kai phat phrik sot,ตับไก่ผัดพริกสด,Stir-fried chicken liver with green peppers,"Chicken liver fried with young (mainly green) chili peppers, light soy sauce, oyster sauce, onion, spring onion, black pepper, and garlic. Here it is served with rice and a fried egg ( khai dao ).",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tap_kai_phat_phrik_sot.jpg/120px-Tap_kai_phat_phrik_sot.jpg,Stir-fried dishes
Tua mai thot,ตัวไหมทอด,Tua mai thot,"Crispy, deep-fried pupae of silkworms . This dish is most often eaten as a snack in order to go with any drink.",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Tua_mai_thot.jpg/120px-Tua_mai_thot.jpg,Deep-fried dishes
Tam khanun,ตำขนุน,Tam khanun,"A spicy Northern Thai salad made with boiled green whole jackfruit which has been mashed with a mortar and pestle, and minced pork. It is normally eaten with sticky rice and (as seen on the image) with khaep mu (pork cracklings).",North,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Tam_khanun.jpg/120px-Tam_khanun.jpg,Salads
Tam phonlamai ruam,ตำผลไม้รวม,Tam phonlamai ruam,"The fruits used in this particular salad show the fusion aspect of Thai cuisine, as it incorporates ""modern"" (for Thais) fruit such as apples and grapes besides traditional fruit such as pineapple and guava. The dressing is made with pounded garlic, sugar, chili peppers, dried shrimp, lime juice and fish sauce, and is similar to that of som tam .",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Tam_phonla_mai_ruam.jpg/120px-Tam_phonla_mai_ruam.jpg,Salads
Tam maphrao on sen mi krop,ตำมะพร้าวอ่อนเส้นหมี่กรอบ,Tam maphrao on sen mi krop,A som tam style salad made with the meat of a young coconut and served with crispy deep-fried thin Chinese rice noodles.,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Tam_maphrao_on_sen_mi_krop_01.jpg/120px-Tam_maphrao_on_sen_mi_krop_01.jpg,Salads
Tam mamuang,ตำมะม่วง,Tam mamuang,"A som tam style salad with tangy unripe mango ""au Julienne"" as its main ingredient. The version in the image contains pla haeng thot , deep-fried sun-dried anchovies.",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Tam_mamuang_pla_haeng_thot.jpg/120px-Tam_mamuang_pla_haeng_thot.jpg,Salads
Tam makhuea,ตำมะเขือ,Tam makhuea,"Chopped and then pounded grilled long green eggplant ( makhuea yao ; Thai : มะเขือยาว ), grilled green chili peppers, raw garlic and salt put in a banana leaf package mixed together with hard-boiled egg. It's a speciality of Northern Thailand where it is traditionally eaten with sticky rice .",North,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Tam_makhuea.JPG/120px-Tam_makhuea.JPG,Salads
Tam som-o nam pu,ตำส้มโอน้ำปู,Tam som-o nam pu,"It is a spicy pomelo salad which uses crab extract as a flavouring. This black sauce is achieved by pounding pu na (""ricefield crabs"", Somanniathelphusa ) to a pulp, straining the juices which are then boiled and reduced until the sauce becomes as thick as molasses.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Tam_som-o_nam_pu.JPG/120px-Tam_som-o_nam_pu.JPG,Salads
Tam maak hoong,ตำหมากหุ่ง,Tam maak hoong,"This version is more spicy, salty, and less sweet of som tam that contains pla ra (a sauce of fermented fish), and very often also brined rice paddy crabs, and makok (the fruit of the Spondias mombin ) besides the usual ingredients for som tam . It does not however contain peanuts.",Northeast,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/2013_Tam_Lao.jpg/120px-2013_Tam_Lao.jpg,Salads
Tam mu yo,ตำหมูยอ,Tam mu yo,"A spicy Thai salad made with mu yo , a Thai pork sausage which is often also described in Thailand as ""Vietnamese sausage"". The dressing is somewhat similar to that of som tam .",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Tam_mu_yo.jpg/120px-Tam_mu_yo.jpg,Salads
Tom kha kai,ต้มข่าไก่,Coconut soup with chicken,"A mild to spicy soup with coconut milk, galangal ( kha ) and chicken. Mushrooms can be added to the chicken or substitute it. [ 1 ]",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Tom_kha_kai_at_a_restaurant.jpg/120px-Tom_kha_kai_at_a_restaurant.jpg,Soups
Tom phak kat dong mu,ต้มผักกาดดองหมู,Tom phak kat dong mu,A soup of boiled pickled Chinese cabbage and pork ribs. This dish is Chinese in origin.,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Tom_phak_kat_dong_mu.JPG/120px-Tom_phak_kat_dong_mu.JPG,Soups
Tom mara,ต้มมะระ,Bitter melon soup,A clear soup made with bitter melon (also known as bitter gourd; Momordica charantia ) of Chinese origin. It is often stuffed with minced pork or with minced pork mixed with glass noodles as on this image. The full name of the latter version would then be tom mara yat sai mu sap wunsen .,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Tom_mara_yat_sai_mu_sap_wunsen.jpg/120px-Tom_mara_yat_sai_mu_sap_wunsen.jpg,Soups
Tom yam,ต้มยำ,Tom yum soup,"A hot and sour broth made from lemon grass , galangal , kaffir lime leaves, dried chili peppers, and lime juice, usually with prawns ( Tom yam kung ) or chicken ( Tom yam kai ). [ 1 ] [ 2 ]",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Tom_yum.jpg/120px-Tom_yum.jpg,Soups
Tom Yum Talay Sai/Khon,"ต้มยำทะเลใส,ข้น",Clear or Creamy Tom Yum with Seafood,"A classic Thai hot and sour soup made with mixed seafood and fragrant herbs, available in a clear broth (sai) or a creamy version (khon) with chili paste and evaporated milk.",Central,,Soup dishes
Tom Yum Pla Kang,ต้มยำปลาคัง,Tom Yum Catfish Soup,"A spicy and sour soup featuring catfish simmered with lemongrass, galangal, kaffir lime leaves, and fresh chili.",Central,,Soup dishes
Tom Yum Pla Yang Hed Ruam,ต้มยำปลาย่างเห็ดรวม,Tom Yum with Grilled Fish and Mixed Mushrooms,A flavorful tom yum soup combining smoky grilled fish with assorted mushrooms in a spicy and tangy broth.,Central,,Soup dishes
Tom Yum Pla Rad,ต้มยำปลาแรด,Tom Yum Giant Gourami Soup,"A hot and sour soup made with giant gourami fish, known for its firm texture, infused with fresh Thai herbs and chili.",Central,,Soup dishes
Tom Yum Moo Sam Chan,ต้มยำหมูสามชั้น,Tom Yum Soup with Pork Belly,"A spicy and sour Thai soup made with tender slices of pork belly, flavored with lemongrass, galangal, kaffir lime leaves, and chili.",Central,,Soup dishes
Tom yam boran,ต้มยำโบราณ,Tom yam boran,"Tom yam boran is noodles served in a thick spicy sour sauce or broth, with crushed dried chili peppers, chopped peanuts, and blanched vegetables such as bean sprouts. This version is bami mu tom yam boran : with egg noodles and pork.",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Tom_yam_boran.jpg/120px-Tom_yam_boran.jpg,Noodle dishes
Tom som kraduk mu,ต้มส้มกระดูกหมู,Tom som kraduk mu,"Tom som translates to ""sour soup"". This particular version is a basic one with only pork ribs ( kraduk mu ) and it derives its sourness from lime juice. Other types of tom som can also use tamarind for acidity, or a combination of both lime and tamarind, and can be made from a multitude of ingredients: meats as well as seafood, and vegetables. [ 1 ]",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Tom_som_kraduk_mu.JPG/120px-Tom_som_kraduk_mu.JPG,Soups
Tom yuea phai,ต้มเยื่อไผ่,Tom yuea phai,"It is a clear broth with, amongst other ingredients, yuea phai (""bamboo fungus""; Phallus indusiatus )",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Tom_yuea_phai.jpg/120px-Tom_yuea_phai.jpg,Soups
Tom Saab Moo Toon,ต้มแซบหมูตุ๋น,Spicy and Sour Soup with Stewed Pork,"A northeastern Thai (Isan) style hot and sour soup made with slow-stewed pork, enhanced with herbs, lime, and chili for a bold flavor.",Northeast (Isan),,Soup dishes
Tom saep,ต้มแซ่บ,Hot and sour Isan soup,"A spicy soup made with stewed meat (usually pork, chicken or beef), roasted fresh herbs and spices, ground roasted rice, and generous amounts of lime juice and fresh herbs just before serving.",Northeast,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Tom_saep.JPG/120px-Tom_saep.JPG,Soups
Tom khlong,ต้มโคล้ง,Tom khlong,"It is a spicy and sour soup somewhat similar to Tom yam. The sourness however does not derive from lime juice but through the use of tamarind juice. The version in the image contains fried smoked fish, tomato, and mushrooms. [ 1 ]",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Tom_khlong.JPG/120px-Tom_khlong.JPG,Soups
Thua ngok pla khem,ถั่วงอกปลาเค็ม,Stir-fried bean sprouts with salted fish,"A stir-fried dish of mung bean sprouts, salted fish, chili peppers, and garlic.",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Thua_ngok_pla_khem.jpg/120px-Thua_ngok_pla_khem.jpg,Vegetable dishes
Thung thong,ถุงทอง,Money bag,"Small, crispy, deep-fried pastry purses filled with a mixture of minced chicken or pork together with minced prawns, mushroom and water chestnut , and served with sweet plum sauce or Thai sweet chili sauce.",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Thung_thong_kung_sot.jpg/120px-Thung_thong_kung_sot.jpg,Savoury snacks and starters
Thong yip,ทองหยิบ,Thong yip,"Thong yip is made from egg yolks like foi thong . The difference is that instead of being thread-like, thong yip are shaped like flowers.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Thong_yib.jpg/120px-Thong_yib.jpg,Sweet snacks and desserts
Thot man kung,ทอดมันกุ้ง,Fried prawn cakes,Another popular variety of thot man where minced shrimp or prawn is used. Plum sauce is commonly provided.,,,Savoury snacks and starters
Thot man khaophot/Khaophot thot,ทอดมันข้าวโพด/ข้าวโพดทอด,Thot man khaophot/Khaophot thot,Deep-fried cakes made with corn and herbs in a batter and served with a sweet chili sauce,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Thot_man_khaophot.JPG/120px-Thot_man_khaophot.JPG,Savoury snacks and starters
Thot man pla/Pla het,ทอดมันปลา/ปลาเห็ด,Fried fish cakes,"Deep fried patties of minced fish mixed with red curry paste, finely chopped yardlong beans ( tua fak yao ), and finely shredded leaves of kaffir lime ( makrut ). Knife fish (pla krai) is popularly used. For this variety of thot man, a sweet & hot similar to chicken chili sauce is provided usually mixed with chopped pieces of cucumber, crushed peanuts, and topped with phak chi .",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Thanin_market_tod_man_pla.jpg/120px-Thanin_market_tod_man_pla.jpg,Savoury snacks and starters
Thot man pu,ทอดมันปู,Fried crab cakes,Deep fried patties of minced crab meat. Plum sauce is commonly provided.,,,Savoury snacks and starters
Tod Mun Hua Plee,ทอดมันหัวปลี,Fried banana blossom fritters,Tod Mun Hua Plee is one of the individual dishes in Thailand. It is made from banana blossom which is the flower of banana.,,,Savoury snacks and starters
Talay Pad Phong Karee,ทะเลผัดผงกะหรี่,Stir-fried Seafood with Yellow Curry Powder,"A rich and flavorful dish of mixed seafood stir-fried with yellow curry powder, egg, celery, and onions for a creamy texture and aromatic taste.",Central,,Seafood dishes
That khai,ทาร์ตไข่,Egg tart,The Thai version of the Portuguese pastel de nata .,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Thad_khai.jpg/120px-Thad_khai.jpg,Sweet snacks and desserts
Nom yen,นมเย็น,Thai pink milk,A drink made from sala syrup and hot milk.,,,Drinks
Nok Mor Ruam Mitr,นอกหม้อรวมมิตร,Mixed Hot Pot Outside the Pot,"A variety of meats, seafood, and vegetables cooked separately but served in the style of a Thai hot pot meal.",Central,,Hot pot dishes
Nugget,นักเก็ต,Chicken Nuggets,"Deep-fried breaded chicken pieces, a popular snack and side dish influenced by Western fast food.",International/Western-influenced,,Snack dishes
Nam chim sate,น้ำจิ้มสะเต๊ะ,Peanut sauce,A peanut sauce which is normally served with satay .,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Chicken_satay.jpg/120px-Chicken_satay.jpg,Dipping sauces and pastes
Nam chim chaeo,น้ำจิ้มแจ่ว,Nam chim chaeo,"It is a sticky, sweet and spicy dipping sauce made with dried chili peppers, fish sauce, palm sugar, lime juice, and coarsely roasted sticky rice. Often served as a dip with mu yang (grilled pork).",Northeast,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Nam_chim_chaeo_2.jpg/120px-Nam_chim_chaeo_2.jpg,Dipping sauces and pastes
Nam chim paesa,น้ำจิ้มแป๊ะซะ,Nam chim paesa,A spicy dipping sauce eaten with steamed fish wrapped in raw lettuce or cabbage.,Northeast,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Nam_Chim_Paesa_-_Thai_dip.jpg/120px-Nam_Chim_Paesa_-_Thai_dip.jpg,Dipping sauces and pastes
Nam chim kai,น้ำจิ้มไก่,Chicken chili sauce,"A very common all-round chili dipping sauce with the consistency of a thick syrup, it is medium spicy and very sweet. Often used as a dipping sauce for grilled chicken ( kai means ""chicken""), it can also be used as a generic chili sauce for other dishes. It forms the base of a few other types of nam chim , such as nam chim thot man pla (""dipping sauce for deep-fried fish cakes"").",,,Dipping sauces and pastes
Nam sup,น้ำซุป,Nam sup,"This is a clear broth, usually served together with khao man kai (chicken rice), khao mok (Thai biryani ), khao kha mu (pork trotter simmered in soy sauce served with rice), khao na pet (red roast duck on rice), or khao mu daeng ( red roast pork on rice). The broth can be made from chicken or pork, or it can be wholly vegetarian. The version served with duck is usually made from duck bones. It will often contain sliced hua chai thao (white radish ; also known as phak kat hua in Thai) and hua chai po khem (a Chinese ingredient of dried and salted chopped turnip). Garlic, ginger, and pepper are often used as additional ingredients. It is most often garnished with fresh coriander leaves or spring onion.",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Nam_sup.jpg/120px-Nam_sup.jpg,Soups
Nam dok anchan,น้ำดอกอัญชัน,Clitoria ternatea drink,A refreshing drink made from Clitoria ternatea flower flavored with sugar served with ice.,,,Drinks
Nam takhrai,น้ำตะไคร้,Lemongrass,A refreshing drink made from lemongrass. It can be served either hot or with ice.,,,Drinks
Phrik nam pla,น้ำปลาพริก,Phrik nam pla,"Colloquially called phrik nam pla , it is a standard sauce served with every Thai buffet style meal, fried rice or fried noodles, and used as a kind of ""salt"". It is made by mixing fish sauce with some lime juice, chopped bird's eye chili peppers, and often also sliced garlic.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Phrik_nam_pla.jpg/120px-Phrik_nam_pla.jpg,Dipping sauces and pastes
Nam phrik kapi,น้ำพริกกะปิ,Nam phrik kapi,"A pungent chili dip made with shrimp paste , pounded dried shrimp, bird's eye chili peppers, garlic, lime juice, fish sauce, palm sugar, and optionally, pea sized aubergines ; most often eaten as part of the dish called Nam phrik pla thu .",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Nam_phrik_kapi_2.jpg/120px-Nam_phrik_kapi_2.jpg,Dipping sauces and pastes
Nam phrik kapi kap pla thu thot,น้ำพริกกะปิกับปลาทูทอด,Nam phrik kapi kap pla thu thot,"Fried pla thu served with nam phrik kapi , a pungent dip made mainly from shrimp paste and chili peppers, and raw, steamed or fried vegetables (often pieces of cha-om omelette). It is eaten with khanom chin (Thai rice noodles) or steamed rice. Although the name of this dish is often shortened to nam phrik pla thu , this refers to a certain type of chili paste in which pla thu is used as an ingredient.",,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Nam_phrik_pla_thu872.jpg/120px-Nam_phrik_pla_thu872.jpg,Deep-fried dishes
Choo Chee Pla Kangkang,ฉู่ฉี่ปลาคังคัง,Choo Chee Curry with Catfish,"Catfish cooked in a thick and fragrant choo chee red curry sauce with coconut milk and kaffir lime leaves, offering a rich and aromatic flavor.",Central,,Curry dishes
Nam phrik kha,น้ำพริกข่า,Nam phrik kha,"A Northern Thai fried chili paste containing galangal ( kha ). It is often eaten, as seen here, with steamed het nang fa (Thai script: เห็ดนางฟ้า; lit. ""fairy mushroom""; Pleurotus pulmonarius).",North,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Nam_phrik_kha.JPG/120px-Nam_phrik_kha.JPG,Dipping sauces and pastes
Nam phrik pla chi,น้ำพริกปลาจี่,Nam phrik pla chi,"A chili paste made with grilled fish, roasted chili peppers, roasted shallots, and roasted garlic, lemongrass, and shrimp paste. It is normally served with both steamed and raw vegetables or other leaves.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Nam_phrik_pla_chi.jpg/120px-Nam_phrik_pla_chi.jpg,Dipping sauces and pastes
Nam phrik long ruea,น้ำพริกลงเรือ,Nam phrik long ruea,"The name means ""chili paste for in a boat"" as it was often eaten while travelling the rivers of Thailand by boat. A sweet, savoury and spicy chili dip, it is served together with fresh vegetables, salted egg and sweet pork. This version also included khamin khao (""white curcuma"") and the slightly sour and bitter leaves of makok ( Spondias mombin )",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Nam_phrik_long_ruea.jpg/120px-Nam_phrik_long_ruea.jpg,Dipping sauces and pastes
Nam phrik num,น้ำพริกหนุ่ม,Nam phrik num,"A paste of pounded roasted large green chili peppers, roasted shallots, roasted garlic, coriander leaves, lime juice, and fish sauce that is eaten with steamed and raw vegetables, khaep mu (crispy pork rind), and sticky rice.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nam_phrik_num.jpg/120px-Nam_phrik_num.jpg,Dipping sauces and pastes
Nam phrik i-ke,น้ำพริกอีเก๋,Nam phrik i-ke,"A northern Thai chili paste made with chili peppers, sliced aubergine, pork rinds, and fermented shrimp paste.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Nam_phrik_i-ke.jpg/120px-Nam_phrik_i-ke.jpg,Dipping sauces and pastes
Nam phrik ong,น้ำพริกอ่อง,Nam phrik ong,"Resembling a thick Bolognese sauce , it is made with dried chili peppers, minced pork, and tomato that is eaten with steamed vegetables, raw vegetables, and sticky rice.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Nam_phrik_ong_02.jpg/120px-Nam_phrik_ong_02.jpg,Dipping sauces and pastes
Nam phrik phao,น้ำพริกเผา,Chilli jam,"A sweet roasted chili paste, often used as an ingredient in Tom yam or when frying meat or seafood, and also popular as a spicy ""jam"" on bread or toasted bread.",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Thai_chilli_paste_in_oil%2C_Thai_roasted_chilli_jam.jpg/120px-Thai_chilli_paste_in_oil%2C_Thai_roasted_chilli_jam.jpg,Dipping sauces and pastes
Nam Prik Pao Moo Krob,น้ำพริกเผาหมูกรอบ,Chili Paste with Crispy Pork,"A flavorful dish made with Thai roasted chili paste stir-fried with crispy pork belly, creating a balance of spicy, sweet, and savory flavors.",Central,,Deep-fried dishes
Nam phrik khaep mu,น้ำพริกแคบหมู,Nam phrik khaep mu,"A northern Thai chili paste of mashed grilled green chili peppers, deep-fried pork rinds, fresh garlic, and salt.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Nam_phrik_kaep_mu.jpg/120px-Nam_phrik_kaep_mu.jpg,Dipping sauces and pastes
